timestamp,vendor_id,name,rating,comment,city,predicted_aspect,predicted_sentiment
12/26/2025 16:59:38,vendor_01,Sai Patil ,4,Nice taste ,Pune,Food,positive
12/26/2025 17:59:39,vendor_01,shri,5,very good food,Nanded,Food,positive
12/05/2025 14:42:10,vendor_01,Ananya,5,Food was absolutely delicious and fresh. Loved it!,Pune,Food,positive
12/04/2025 13:37:18,vendor_02,Amit,4,Great service,very attentive staff. Will come again!,Service,positive
12/02/2025 20:28:30,vendor_03,Sarah,3,It was okay. Nothing special but acceptable.,Hyderabad,Other,positive
12/01/2025 11:41:42,vendor_04,Rajesh,2,Service was slow. Waited 45 minutes for food.,Delhi,Food,negative
11/30/2025 21:19:05,vendor_05,John,1,Food was cold and stale. Very disappointed.,Bangalore,Food,negative
11/29/2025 16:32:55,vendor_01,Priya,5,Best restaurant in the city. Highly recommended!,Pune,Other,positive
11/28/2025 17:03:24,vendor_02,Vikram,4,Amazing ambience and the food was fantastic.,Mumbai,Food,positive
11/27/2025 18:46:33,vendor_03,Sneha,5,Excellent quality and reasonable prices. Happy!,Hyderabad,Price,positive
11/26/2025 15:25:17,vendor_04,Amit,3,Decent place for a casual meal.,Delhi,Food,positive
11/25/2025 13:02:49,vendor_05,John,2,Food was overpriced and portion was tiny.,Bangalore,Food,negative
11/24/2025 21:14:59,vendor_01,Sarah,4,The paneer biryani was cooked perfectly. Tasty!,Pune,Food,positive
11/23/2025 11:42:08,vendor_02,Priya,5,Staff was so friendly and courteous. Great experience!,Mumbai,Staff Behavior,positive
11/22/2025 22:09:34,vendor_03,Rajesh,5,Clean place with beautiful decor. Food was tasty.,Hyderabad,Food,positive
11/21/2025 17:28:22,vendor_04,Ananya,4,Great value for money. Food portions were huge!,Delhi,Food,positive
11/20/2025 14:18:47,vendor_05,Amit,3,Food was fine but a bit overpriced.,Bangalore,Food,positive
11/19/2025 19:34:10,vendor_01,Sneha,2,Hygiene standards were poor. Not satisfied.,Pune,Hygiene,negative
11/18/2025 13:48:42,vendor_02,John,5,Loved the pizza here. Best in town!,Mumbai,Food,positive
11/17/2025 16:57:23,vendor_03,Amit,5,The naan bread was soft and warm. Delicious!,Hyderabad,Food,positive
11/16/2025 11:41:18,vendor_04,Vikram,4,Amazing customer service and quick delivery.,Delhi,Service,positive
11/15/2025 10:54:29,vendor_05,Priya,5,Very hygienic kitchen. Safe and clean place.,Bangalore,Hygiene,positive
11/14/2025 21:10:37,vendor_01,John,1,Staff was rude and unprofessional. Bad experience.,Pune,Staff Behavior,negative
11/13/2025 16:25:41,vendor_02,Amit,2,The place was dirty and smelly. Won't return.,Mumbai,Hygiene,negative
11/12/2025 20:51:55,vendor_03,Sarah,4,Parking is convenient and location is great.,Hyderabad,Location,positive
11/11/2025 14:38:14,vendor_04,Rajesh,3,Average food and average service.,Delhi,Food,negative
11/10/2025 9:45:47,vendor_05,Ananya,5,Great value for money. Amazing taste!,Bangalore,Food,positive
11/10/2025 9:45:34,vendor_01,Shiv,2,very bad food,Chennai,Food,negative
12/25/2025 19:45:11,vendor_04,Sneha,5,Food was absolutely delicious and fresh. Loved it!,Mumbai,Food,positive
12/25/2025 17:12:44,vendor_01,Rajesh,4,Great service,very attentive staff. Will come again!,Service,positive
12/25/2025 15:56:02,vendor_03,Ananya,3,It was okay. Nothing special but acceptable.,Delhi,Other,positive
12/25/2025 13:27:39,vendor_02,John,1,Service was slow. Waited 45 minutes for food.,Hyderabad,Food,negative
12/24/2025 21:18:17,vendor_05,Priya,5,Excellent quality and reasonable prices. Happy!,Pune,Price,positive
12/24/2025 19:33:58,vendor_03,Amit,2,Food was cold and stale. Very disappointed.,Delhi,Food,negative
12/23/2025 22:04:37,vendor_02,Sarah,4,The paneer biryani was cooked perfectly. Tasty!,Mumbai,Food,positive
12/23/2025 20:51:12,vendor_01,Vikram,3,Average food and average service.,Bangalore,Food,negative
12/22/2025 18:12:43,vendor_05,Ananya,5,Best restaurant in the city. Highly recommended!,Pune,Other,positive
12/21/2025 10:58:07,vendor_04,Amit,2,Bill was inflated. Overcharged significantly.,Hyderabad,Other,negative
12/21/2025 9:46:41,vendor_03,Sneha,4,Amazing ambience and the food was fantastic.,Mumbai,Food,positive
12/20/2025 22:18:20,vendor_01,John,3,Decent place for a casual meal.,Delhi,Food,positive
12/20/2025 19:34:33,vendor_02,Rajesh,5,Loved the pizza here. Best in town!,Pune,Food,positive
12/19/2025 12:12:25,vendor_05,Sarah,1,The place was dirty and smelly. Won't return.,Bangalore,Hygiene,negative
12/18/2025 14:54:10,vendor_04,Vikram,5,Clean place with beautiful decor. Food was tasty.,Hyderabad,Food,positive
